R. Lewandowski,90,29,ST,90,FC Bayern München,€77M,Right
W. Szczęsny,85,28,GK,87,Juventus,€32M,Right
K. Glik,83,30,RCB,83,AS Monaco,€19M,Right
P. Zieliński,81,24,RCM,88,Napoli,€24.5M,Right
A. Milik,81,24,CF,88,Napoli,€25.5M,Left
L. Piszczek,81,33,RB,81,Borussia Dortmund,€7M,Right
L. Fabiański,81,33,GK,81,West Ham United,€9M,Right
G. Krychowiak,78,28,LCM,79,Lokomotiv Moscow,€9.5M,Right
L. Teodorczyk,76,27,ST,77,Udinese,€9M,Right
K. Linetty,76,23,CM,83,Sampdoria,€10.5M,Right
L. Skorupski,76,27,GK,79,Bologna,€6.5M,Right
A. Mierzejewski,75,31,RM,75,Changchun Yatai FC,€6M,Left
B. Bereszyński,74,25,LB,77,Sampdoria,€6M,Right
A. Boruc,74,38,GK,74,Bournemouth,€375K,Right
J. Błaszczykowski,74,32,RM,74,VfL Wolfsburg,€4.4M,Right
K. Piątek,74,23,ST,80,Genoa,€8M,Right
T. Kędziora,74,24,RB,79,Dynamo Kyiv,€6.5M,Right
K. Grosicki,73,30,LM,73,Hull City,€3.8M,Right
R. Gikiewicz,73,30,GK,73,1. FC Union Berlin,€2.6M,Right
M. Kamiński,73,26,CB,75,Fortuna Düsseldorf,€4M,Left
J. Góralski,73,25,CDM,77,0,€0,Right
M. Stępiński,73,23,LS,80,Chievo Verona,€5.5M,Right
M. Pazdan,73,30,CB,73,Legia Warszawa,€3M,Right
M. Klich,73,28,RM,73,Leeds United,€4M,Right
K. Wilczek,73,30,RS,73,Brøndby IF,€3.9M,Left
M. Rybus,73,28,LB,73,Lokomotiv Moscow,€3.2M,Left
A. Malarz,72,38,GK,72,Legia Warszawa,€210K,Right
T. Romanczuk,72,26,LDM,74,Jagiellonia Białystok,€3.1M,Left
I. Lewczuk,72,33,CB,72,FC Girondins de Bordeaux,€1.3M,Right
S. Żurkowski,72,20,LCM,83,Górnik Zabrze,€5.5M,Right
Thiago Cionek,72,32,RCB,72,SPAL,€1.8M,Right
B. Białkowski,72,30,GK,72,Ipswich Town,€2M,Right
M. Makuszewski,71,28,RM,71,Lech Poznań,€2.4M,Right
P. Kieszek,71,34,GK,71,Málaga CF,€950K,Right
J. Gol,71,32,CDM,71,Cracovia,€1.8M,Right
B. Salamon,71,27,CB,72,Frosinone,€2.2M,Right
D. Zbozień,71,29,RB,71,Arka Gdynia,€1.8M,Right
L. Szukała,71,34,CB,71,MKE Ankaragücü,€725K,Right
P. Olkowski,71,28,RB,71,Bolton Wanderers,€1.9M,Right
J. Bednarek,71,22,LCB,80,Southampton,€3.2M,Right
D. Kądzior,71,26,RM,72,Dinamo Zagreb,€2.8M,Left
W. Sobota,71,31,LM,71,FC St. Pauli,€2.1M,Right
B. Drągowski,71,20,GK,82,Fiorentina,€3.2M,Right
L. Trałka,70,34,RDM,70,Lech Poznań,€550K,Right
A. Frączczak,70,30,LM,70,Pogoń Szczecin,€1.7M,Right
R. Wolski,70,25,CAM,73,Lechia Gdańsk,€2.2M,Right
P. Wszołek,70,26,RM,70,Queens Park Rangers,€1.9M,Right
M. Robak,70,35,LS,70,Śląsk Wrocław,€825K,Right
M. Wasilewski,70,38,RCB,70,Wisła Kraków,€240K,Right
R. Kurzawa,70,25,LM,73,Amiens SC,€2.2M,Left
A. Jędrzejczyk,70,30,RB,70,Legia Warszawa,€1.3M,Right
P. Frankowski,70,23,RM,76,Jagiellonia Białystok,€2.4M,Right
D. Kownacki,70,21,ST,82,Sampdoria,€3.2M,Right
D. Łukasik,69,27,CDM,69,Lechia Gdańsk,€875K,Right
A. Sobiech,69,28,ST,69,Lechia Gdańsk,€1.1M,Right
R. Murawski,69,24,RCM,76,Palermo,€1.5M,Right
P. Celeban,69,33,RCB,69,Śląsk Wrocław,€425K,Right
M. Sadlok,69,29,LCB,69,Wisła Kraków,€825K,Left
J. Fojut,69,30,CB,69,Pogoń Szczecin,€775K,Right
K. Mączyński,69,31,CDM,69,Legia Warszawa,€700K,Right
M. Dąbrowski,69,31,RCB,69,Zagłębie Lubin,€700K,Right
T. Kuszczak,69,36,GK,69,Birmingham City,€140K,Right
J. Czerwiński,69,26,RCB,70,Piast Gliwice,€1M,Right
M. Kucharczyk,69,27,RM,69,Legia Warszawa,€1.1M,Right
P. Dawidowicz,69,23,CB,80,Hellas Verona,€1.6M,Right
D. Dąbrowski,69,25,RCM,73,Cracovia,€1.1M,Right
J. Niezgoda,69,23,ST,75,Legia Warszawa,€1.5M,Right
T. Jodłowiec,69,32,CAM,69,Piast Gliwice,€600K,Right
